Id,Artist,Title,Wks,T10,PK,Pkstreams,Total,ReleaseDate,Popularity,Genre,Unique_Listener
63,Coldplay,Viva La Vida,165,,31,"18,240,182","1,834,343,931",6/6/2008,86,"alternative rock, ambient pop, art pop, big music, britannique, british, britpop, chapel, dream pop, english, indie pop, indie rock, parlophone, piano pop, piano rock, pop, pop rock, pop/rock, post-britpop, rock, rock and indie, uk",3351611
64,Mariah Carey,All I Want for Christmas Is You,83,37,1,"92,506,541","1,823,145,266",10/28/1994,74,"metal, metalcore, rock",2008404
65,The Police,Every Breath You Take,198,,36,"15,898,344","1,833,826,049",6/17/1983,90,rock,2507228
66,FloyyMenor,Gata Only,85,22,3,"54,990,825","1,786,874,303",2/2/2024,85,"hip hop, rap, pop",512752
67,The Weeknd,Save Your Tears,171,13,2,"30,115,082","661,883,213",3/20/2020,86,"hip hop, rap, pop",1705044
68,Chappell Roan,"Good Luck, Babe!",76,19,6,"40,219,805","1,759,837,057",4/5/2024,89,"alternative pop, dance-pop, electropop, gay pop, indie pop, pop, pop rock, queer, sapphic, singer-songwriter, synth-pop",1890335
69,Lady Gaga,Shallow,182,12,3,"31,597,226","1,738,805,577",10/5/2018,84,"2000s, 2010s, 2020s, adult contemporary, americana, dance, dance-pop, electro house, electronic, electropop, film soundtrack, industrial pop, jazz, late 2000s, millennial, pop, pop rock, synth-pop, synthpop",859045
70,Bruno Mars,Locked out of Heaven,201,,23,"19,098,304","1,721,237,885",12/7/2012,87,"2010s, funk, music for soccer moms, pop, r&b, relic inn, rock, soul",2224936
71,Hozier,Too Sweet,79,13,2,"56,325,657","1,691,896,990",3/22/2024,75,"adult alternative pop/rock, alternative, alternative/indie rock, blues, blues rock, chamber pop, contemporary singer/songwriter, folk rock, indie rock, pop, pop rock, pop soul, r&b, rock, singer-songwriter, soul",1264663
72,The Walters,I Love You So,171,,21,"14,526,745","1,689,762,209",11/28/2014,87,"indie pop, indie rock",1579000
73,OneRepublic,I Ain't Worried,114,8,7,"25,270,059","1,663,352,530",5/13/2022,81,"folk pop, pop, pop rock, rock",871639
