id,artist,title,total,releasedate,unique_listener,year,recency,log_total,log_total_norm,unique_norm,recency_norm,songscore,genre,track_id,danceability,energy,valence,tempo,acousticness,loudness,speechiness,mode,duration_ms,unnamed: 24,explicit
342,Bebe Rexha,Meant to Be,688386937,11/11/2016,29567,2016,0.8875,20.34986165,0.80788631,0.007724587,0.8875,58.37605313,"dance-pop, pop",7iDa6hUg2VgEL1o1HjmfBn,0.63,0.694,0.216,119.947,0.00281,-5.487,0.0253,1,204280,,0
343,Bad Bunny,MIA,688289134,6/27/2025,283831,2025,1,20.34971956,0.807872521,0.074157343,1,62.61834636,"reggaeton, trap latino, urbano latino, latin",3gE4eQH3K83Sght0ZLvuBK,0.816,0.538,0.156,97.054,0.0142,-6.354,0.0617,0,210367,,FALSE
344,Pedro Capó,Calma - Remix,687647813,10/5/2018,170903,2018,0.9125,20.34878737,0.807782054,0.044652111,0.9125,59.97866604,"latin pop, latin",5iwz1NiezX7WWjnCgY5TH4,0.826,0.773,0.761,126.899,0.323,-4.218,0.0524,0,238200,,FALSE
345,Justin Bieber,Intentions,686857521,4/26/2024,237463,2024,0.9875,20.34763744,0.807670456,0.062042557,0.9875,61.99479952,"dance-pop, pop, pop rap, r&b, teen pop",4umIPjkehX1r7uhmGvXiSV,0.644,0.732333333,0.438333333,119.947,0.195233333,-5.487,0.0706,1,204280,,0
346,Ariana Grande,no tears left to cry,685597568,8/17/2018,1132639,2018,0.9125,20.34580138,0.807492271,0.295929418,0.9125,67.50249611,pop,2qT1uLXPVPzGgFOx4jtEuo,0.699,0.713,0.354,121.993,0.04,-5.507,0.0594,0,205920,,FALSE
347,Dasha,Austin,682387660,2/16/2024,187694,2024,0.9875,20.34110847,0.807036836,0.049039175,0.9875,61.57301707,country pop,2uqYupMHANxnwgeiXTZXzd,0.689243243,0.68183871,0.483291667,119.947,0.1891955,-5.487,0.09895625,1,204280,,0
348,ZAYN,I Don’t Wanna Live Forever (Fifty Shades Darker),682354310,11/9/2017,962920,2017,0.9,20.3410596,0.807032093,0.251586134,0.9,65.89918866,"pop, r&b",55n9yjI6qqXh5F2mYvUc2y,0.731,0.445,0.106,117.97,0.0586,-8.418,0.0533,1,247160,,FALSE
349,FIFTY FIFTY,Cupid - Twin Ver.,682233804,9/22/2023,802509,2023,0.975,20.34088298,0.807014953,0.209674794,0.975,66.14099146,k-pop,53DDMPqgMWNrEeE3NjThKE,0.672707317,0.731365854,0.54025,119.947,0.139676829,-5.487,0.101746341,1,204280,,0
350,Marshmello,Silence,681892436,8/11/2017,629362,2017,0.9,20.34038249,0.806966381,0.16443586,0.9,63.28139484,edm,7vGuf3Y35N4wmASOKLUVVU,0.52,0.761,0.286,141.971,0.256,-3.093,0.0853,1,180822,,FALSE
351,W Sound,La Plena - W Sound 05,699067566,2/19/2025,160680,2025,1,20.36525796,0.809380484,0.0419811,1,61.72845721,pop,6iOndD4OFo7GkaDypWQIou,0.661145833,0.641541667,0.483291667,119.947,0.196785937,-5.487,0.09895625,1,204280,,0
