Id,Artist,Title,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Total,ReleaseDate,Unique_Listener,Year,Recency,log_Total,log_Total_norm,Unique_norm,Recency_norm,SongScore,MainGenre,Genre
1731,Alan Walker,Alone,,,,,137666887,5/13/2016,342812,2016.0,0.8875,18.74034747,0.651686932,0.089567588,0.8875,53.02137424,Electronic / EDM,"dance-pop, electronic, electropop, pop"
1732,Tones And I,Never Seen the Rain,,,,,137556302,7/16/2021,130921,2021.0,0.95,18.73954387,0.651608945,0.034205825,0.95,52.60662199,Indie / Alternative,"dance-pop, electropop, indie pop, pop soul"
1733,Anuv Jain,Jo Tum Mere Ho,,,,,137248620,8/2/2024,35991,2024.0,0.9875,18.73730459,0.651391628,0.009403016,0.9875,52.6016719,Other,"indian indie, hindi indie, hindi pop"
1734,Ariana Grande,Don’t Call Me Angel (Charlie’s Angels),,,,,137203073,11/1/2019,16373,2019.0,0.925,18.73697268,0.651359417,0.004277328,0.925,51.19629071,Hip-Hop / Rap,pop
1735,Doechii,What It Is (Solo Version),,,,,137166101,3/17/2023,478666,2023.0,0.975,18.73670317,0.651333262,0.125062804,0.975,55.81854723,Hip-Hop / Rap,pop rap
1736,Fuerza Regida,ROSONES,,,,,137091068,12/5/2024,1925,2024.0,0.9875,18.736156,0.65128016,0.000502431,0.9875,52.32908096,Other,"corrido, corridos tumbados, corridos bélicos"
1737,Alex Warren,Eternity,,,,,147732720,7/18/2025,152556,2025.0,1.0,18.81091526,0.658535362,0.039858504,1.0,54.12252322,Indie / Alternative,"indie pop, pop"
1738,MC Tuto,Barbie,,,,,136872070,1/1/1997,122659,1997.0,0.65,18.73455726,0.651125007,0.032047174,0.65,46.51766554,Hip-Hop / Rap,"brazilian funk, funk consciente, trap funk"
1740,JAY-Z,Ni**as In Paris,,,,,136437369,8/8/2011,96199,2011.0,0.825,18.73137624,0.650816296,0.025133845,0.825,49.79483016,Hip-Hop / Rap,"hip hop, east coast hip hop, rap"
1741,Lady Gaga,The Cure,,,,,136360277,4/16/2017,350389,2017.0,0.9,18.73081104,0.650761446,0.091547266,0.9,53.28449027,Pop,"art pop, pop"
1742,Taylor Swift,The Tortured Poets Department,,,,,136276197,4/19/2024,602067,2024.0,0.9875,18.73019425,0.650701587,0.157304366,0.9875,57.00421035,Indie / Alternative,"pop rock, alternative pop, country pop, indie folk, country"
1743,LISA,Born Again,,,,,136217783,2/28/2025,2578,2025.0,1.0,18.72976552,0.65065998,0.000673044,1.0,52.5531903,Other,k-pop
1744,Taylor Swift,...Ready For It?,,,,,136086748,11/10/2017,947336,2017.0,0.9,18.7288031,0.65056658,0.247514428,0.9,57.95376183,Indie / Alternative,"synth-pop, country pop, electropop, pop, country"
1745,Naughty Boy,La La La,,,,,135990994,1/1/2013,785208,2013.0,0.85,18.72809923,0.650498271,0.20515448,0.85,55.67954793,Other,j-pop
1746,Shakira,Me Enamoré,,,,,135848478,5/26/2017,178164,2017.0,0.9,18.7270507,0.650396513,0.046549227,0.9,51.91630248,Rock,latin pop
1747,Rihanna,Diamonds,,,,,135792805,1/1/2012,1585352,2012.0,0.8375,18.7266408,0.650356733,0.414211882,0.8375,61.69419312,Pop,"dance-pop, r&b, pop culture, pop star, pop soul"
1748,Alex Rose,Jangueo,,,,,135776730,5/29/2020,38890,2020.0,0.9375,18.72652241,0.650345244,0.010160451,0.9375,51.57207576,Hip-Hop / Rap,"trap latino, reggaeton, urbano latino"
1749,Famous Dex,JAPAN,,,,,135679938,10/21/2016,422942,2016.0,0.8875,18.72580928,0.650276037,0.110503531,0.8875,53.57890778,Hip-Hop / Rap,trap
1750,Robin Schulz,Headlights,,,,,135536701,2/18/2022,6676,2022.0,0.9625,18.72475303,0.65017353,0.001743747,0.9625,51.81098892,Electronic / EDM,tropical house
1751,Major Lazer,Que Calor,,,,,135525018,10/19/2018,152812,2018.0,0.9125,18.72466682,0.650165164,0.03992539,0.9125,51.95601992,Pop,moombahton
1752,Grupo Menos É Mais,P do Pecado - Ao Vivo,,,,,146221058,4/29/2025,67150,2025.0,1.0,18.80063014,0.657537216,0.017544075,1.0,53.40318307,Other,"pagode, samba"
1753,Elton John,Hold Me Closer,,,,,135375171,10/22/2021,359422,2021.0,0.95,18.72356053,0.650057802,0.093907361,0.95,54.3201109,Rock,"piano rock, rock and roll, rock, pop, classic rock"
1754,Eminem,'Till I Collapse,,,,,135371701,5/26/2002,747505,2002.0,0.7125,18.7235349,0.650055314,0.195303639,0.7125,52.61187487,Hip-Hop / Rap,"rap, hip hop"
1755,Tito Double P,POR SUS BESOS,,,,,145505726,7/11/2025,27224,2025.0,1.0,18.795726,0.657061282,0.007112421,1.0,53.06643673,Other,"corrido, corridos tumbados, corridos bélicos, electro corridos, dembow belico, música mexicana"
1756,Mora,512,,,,,135206532,7/24/2015,139921,2015.0,0.875,18.72231404,0.649936833,0.036557298,0.875,51.09356056,Hip-Hop / Rap,"urbano latino, trap latino, reggaeton"
1757,Ozuna,Solita,,,,,135069082,1/19/2018,115596,2018.0,0.9125,18.72129693,0.649838124,0.03020179,0.9125,51.64795993,Latin,"reggaeton, trap latino, latin, urbano latino"
1758,Clave Especial,COMO CAPO,,,,,135025669,2/20/2025,50613,2025.0,1.0,18.72097547,0.649806927,0.013223375,1.0,52.88704761,Other,"corrido, corridos tumbados, corridos bélicos, música mexicana"
1759,MC Fioti,Bum Bum Tam Tam,,,,,134979902,7/16/2019,291388,2019.0,0.925,18.72063646,0.649774027,0.076131796,0.925,53.27265525,R&B / Soul,brazilian funk
1760,Lil Uzi Vert,Watch This - ARIZONATEARS Pluggnb Remix,,,,,134770524,2/5/2023,638628,2023.0,0.975,18.71908408,0.649623372,0.166856831,0.975,56.98687355,Hip-Hop / Rap,melodic rap
1761,Ed Sheeran,Dive,,,,,134677281,8/28/2024,376489,2024.0,0.9875,18.71839197,0.649556205,0.098366537,0.9875,55.17880636,Folk / Country,soft pop
1762,Kina,Can We Kiss Forever?,,,,,134533265,8/31/2018,255677,2018.0,0.9125,18.71732206,0.649452373,0.066801415,0.9125,52.72666108,Other,rap
1763,Dimitri Vegas & Like Mike,Thank You (Not So Bad),,,,,134517656,12/1/2023,224837,2023.0,0.975,18.71720603,0.649441112,0.058743702,0.975,53.73436669,Hip-Hop / Rap,"big room, electronica, edm"
1764,Dalex,Cuaderno,,,,,134198033,5/10/2019,58303,2019.0,0.925,18.71482713,0.649210246,0.015232578,0.925,51.41748965,Latin,reggaeton
1765,Travis Scott,TELEKINESIS,,,,,134164423,7/28/2023,228647,2023.0,0.975,18.71457665,0.649185938,0.059739159,0.975,53.75147166,Hip-Hop / Rap,rap
1766,Nicky Jam,X - Remix,,,,,134146384,5/24/2024,33624,2024.0,0.9875,18.71444219,0.649172888,0.008784579,0.9875,52.47218179,Latin,"reggaeton, latin"
1767,Piso 21,Te Amo,,,,,134144734,11/20/2009,76464,2009.0,0.8,18.71442989,0.649171695,0.019977588,0.8,49.05791237,Latin,"reggaeton, colombian pop, pop urbano"
1768,Selena Gomez,Look At Her Now,,,,,133920158,1/10/2020,313915,2020.0,0.9375,18.71275435,0.649009088,0.082017532,0.9375,53.66098037,Indie / Alternative,"electropop, alternative r&b, teen pop, pop, dance-pop"
1769,Raim Laode,Komang,,,,,133900259,8/16/2022,25207,2022.0,0.9625,18.71260575,0.648994667,0.006585429,0.9625,51.89729623,Other,"indonesian pop, indonesian indie"
